release1,release2,value
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.7,35.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.8,71.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.21,159.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.7,71.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.6,47.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.5,70.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.5,47.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.4,69.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.4,58.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.20,239.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.18,188.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:3.0.3.RELEASE,717.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.17,191.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.17,242.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.16,201.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.14,204.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.97.Final,8.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.70.Final,8.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.75.Final,0.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.0.0,307.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.91.Final,5.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.15,12.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.82.Final,0.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.19,10.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.107.Final,13.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.17,12.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.85.Final,0.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.18,12.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.94.Final,13.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.12,366.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.101.Final,13.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.10,366.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.39.Final,51.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:6.1.11,366.0
io.netty:netty-buffer:4.1.75.Final,io.netty:netty-buffer:4.1.87.Final,4.0
io.netty:netty-jni-util:0.0.9.Final,io.netty:netty-jni-util:0.0.6.Final,0.0
io.netty:netty-jni-util:0.0.9.Final,io.netty:netty-jni-util:0.0.3.Final,0.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:5.3.15,242.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.2.5.RELEASE,587.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.11,20.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.17,31.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.18,35.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.18,33.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.16,35.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.19,33.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.17,35.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.6.2,3.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.3,68.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.4.3,272.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.2,64.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.6.1,3.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.1,63.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.10,31.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.1.0,63.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.6.0,12.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.21,35.0
io.projectreactor:reactor-core:3.6.4,io.projectreactor:reactor-core:3.5.11,31.0
org.springframework:spring-core:6.0.4,org.springframework:spring-core:6.0.20,35.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.51.Final,3.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.89.Final,5.0
